year,Classification / diagnosis,Detection / localization,Prediction / prognosis,Segmentation,Quality assessment / grading,Image enhancement / denoising,Explainability / interpretability,Synthesis / augmentation,Registration / reconstruction,Other / unclear,Total,is_incomplete_year
2010,1,0,0,0,0,0,0,0,0,0,1,false
2011,0,0,0,0,0,0,0,0,0,0,0,false
2012,0,0,0,0,0,0,0,0,0,0,0,false
2013,2,0,0,0,0,0,0,0,0,0,2,false
2014,0,0,0,0,0,0,0,0,0,0,0,false
2015,0,0,0,0,0,0,0,0,0,0,0,false
2016,0,0,0,0,0,0,0,0,0,0,0,false
2017,1,0,0,3,0,0,0,0,0,0,4,false
2018,2,4,1,6,0,0,0,0,0,0,13,false
2019,6,6,2,11,1,0,0,0,0,0,26,false
2020,9,9,9,14,0,0,0,0,0,0,41,false
2021,14,9,5,5,1,0,2,0,0,0,36,false
2022,17,10,6,15,0,0,0,0,0,0,48,false
2023,31,11,11,20,3,0,0,1,0,0,77,false
2024,21,22,15,13,2,0,1,0,0,0,74,false
2025,30,18,11,20,3,0,8,0,0,0,90,false
2026,5,2,6,2,0,0,0,0,0,0,15,true
